content,question area,related tags,answer area
What made you angry today?,emotion,angry,event
What made you happy today?,emotion,joyful,event
What do you look forward for these days?,emotion,anticipation,event
What is annoying these days?,emotion,trust,event
What scared you recently?,emotion,fear,event
What surprised you today?,emotion,surprise,event
What disgusts you?,emotion,disgust,event
What made you laugh today?,emotion,joyful,event
Who did you meet today?,event,meet,associated people
Where did you go today?,event,visit,event
What did you eat today?,event,eat,event
Who made you feel angry today?,emotion,angry,associated people
Who do you want to meet these days?,emotion,anticipation,associated people
Who is someone you can trust?,emotion,trust,associated people
Who makes you nervous?,emotion,fear,associated people
Who made you feel disgusted?,emotion,disgust,associated people
What made you sad today?,emotion,sadness,event
What is stressful these days?,emotion,fear,event
What is your favorite song these days?,thought,song,thought
Who is your rolemodel?,emotion,admiration,thought
What worries you these days?,emotion,apprehension,thought
Did anything amazing happen recently?,emotion,amazement,event
